date,international_pop_total_streams
2022-10-30,27062072.0
2022-11-06,26954984.0
2022-11-13,27168281.0
2022-11-20,28014176.0
2022-11-27,27613565.0
2022-12-04,27872926.0
2022-12-11,28277754.0
2022-12-18,27305136.0
2022-12-25,26885992.0
2023-01-01,25459352.0
2023-01-08,27002970.0
2023-01-15,28253441.0
2023-01-22,29100508.0
2023-01-29,28851665.0
2023-02-05,27572491.0
2023-02-12,28210828.0
2023-02-19,26930118.0
2023-02-26,25875953.0
2023-03-05,25734401.0
2023-03-12,25784799.0
2023-03-19,25627418.0
2023-03-26,25225357.0
2023-04-02,24762930.0
2023-04-09,24825016.0
2023-04-16,23494598.0
2023-04-23,23673328.0
2023-04-30,24032140.0
2023-05-07,23707778.0
2023-05-14,23647278.0
2023-05-21,23726461.0
2023-05-28,23627171.0
2023-06-04,22734596.0
2023-06-11,22167734.0
2023-06-18,31482554.0
2023-06-25,32285614.0
2023-07-02,26381125.0
2023-07-09,26167474.0
2023-07-16,24699355.0
2023-07-23,22964702.0
2023-07-30,21985321.0
2023-08-06,21090995.0
2023-08-13,19989970.0
2023-08-20,11760514.0
2023-08-27,11937358.0
2023-09-03,12464318.0
2023-09-10,12426678.0
2023-09-17,12493253.0
2023-09-24,13127351.0
2023-10-01,14470584.0
2023-10-08,14376225.0
2023-10-15,14072159.0
2023-10-22,13986849.0
2023-10-29,14113053.0
2023-11-05,13905385.0
2023-11-12,14432784.0
2023-11-19,14191609.0
2023-11-26,14287701.0
2023-12-03,14095540.0
2023-12-10,13868269.0
2023-12-17,13082644.0
2023-12-24,12923442.0
2023-12-31,12306770.0
2024-01-07,12178758.0
2024-01-14,12882699.0
2024-01-21,13313553.0
2024-01-28,13678259.0
2024-02-04,13328125.0
2024-02-11,13026453.0
2024-02-18,12252697.0
2024-02-25,12426658.0
2024-03-03,12276379.0
2024-03-10,12326372.0
2024-03-17,12028494.0
2024-03-24,11913591.0
2024-03-31,12136182.0
2024-04-07,13378257.0
2024-04-14,16975390.0
2024-04-21,14810262.0
2024-04-28,14172787.0
2024-05-05,14217118.0
2024-05-12,13844417.0
2024-05-19,13313461.0
2024-05-26,14212940.0
2024-06-02,15151478.0
2024-06-09,14259451.0
2024-06-16,14281282.0
2024-06-23,13853114.0
2024-06-30,12920864.0
2024-07-07,13302374.0
2024-07-14,13796656.0
2024-07-21,13643373.0
2024-07-28,13551542.0
2024-08-04,13319347.0
2024-08-11,23605630.0
2024-08-18,24040471.0
2024-08-25,24398628.0
2024-09-01,24798070.0
2024-09-08,24686592.0
2024-09-15,25017687.0
2024-09-22,24871169.0
2024-09-29,24051482.0
2024-10-06,23753369.0
2024-10-13,23360525.0
2024-10-20,22080316.0
2024-10-27,22174910.0
2024-11-03,21969418.0
2024-11-10,21914074.0
2024-11-17,22441422.0
2024-11-24,22048751.0
2024-12-01,12306433.0
2024-12-08,12010080.0
2024-12-15,11804001.0
2024-12-22,11179840.0
2024-12-29,10144951.0
2025-01-05,9850360.0
2025-01-12,19142621.0
2025-01-19,19834616.0
2025-01-26,20018567.0
2025-02-02,19417090.0
2025-02-09,19883042.0
2025-02-16,19963158.0
2025-02-23,19644960.0
2025-03-02,19588907.0
2025-03-09,18499568.0
2025-03-16,19057629.0
2025-03-23,10281079.0
