date,kids_total_streams
2020-03-08,8874869.0
2020-03-15,6461447.0
2020-03-22,5193927.0
2021-10-24,10353011.0
2021-10-31,10959583.0
2021-11-07,8960621.0
2021-11-14,8178768.0
2021-11-21,7402320.0
2021-11-28,6921826.0
2021-12-05,6009650.0
2022-01-02,7827950.0
2022-01-30,5382494.0
2022-02-06,5410071.0
2022-02-20,6016498.0
2022-11-13,9214552.0
