date,latin_music_total_streams
2021-09-12,213056201.0
2021-09-19,215094199.0
2021-09-26,197544149.0
2021-10-03,187738974.0
2021-10-10,184928161.0
2021-10-17,181579505.0
2021-10-24,170124945.0
2021-10-31,166600320.0
2021-11-07,152820255.0
2021-11-14,167652711.0
2021-11-21,132257496.0
2021-11-28,146671682.0
2021-12-05,147661176.0
2021-12-12,138277964.0
2021-12-19,123959459.0
2021-12-26,120700522.0
2022-01-02,110528338.0
2022-01-09,139020325.0
2022-01-16,119087652.0
2022-01-23,120096297.0
2022-01-30,129615578.0
2022-02-06,137396274.0
2022-02-13,135275829.0
2022-02-20,164890500.0
2022-02-27,176802178.0
2022-03-06,190279746.0
2022-03-13,187215086.0
2022-03-20,188778769.0
2022-03-27,182037698.0
2022-04-03,171472142.0
2022-04-10,173377512.0
2022-04-17,169031535.0
2022-04-24,158707508.0
2022-05-01,194149207.0
2022-05-08,205456760.0
2022-05-15,792090723.0
2022-05-22,576547209.0
2022-05-29,528528013.0
2022-06-05,500942308.0
2022-06-12,486772136.0
2022-06-19,474557448.0
2022-06-26,447689942.0
2022-07-03,427963712.0
2022-07-10,448842018.0
2022-07-17,456028028.0
2022-07-24,468468068.0
2022-07-31,455605960.0
2022-08-07,452278783.0
2022-08-14,453490633.0
2022-08-21,453973934.0
2022-08-28,445167856.0
2022-09-04,434174340.0
2022-09-11,418675431.0
2022-09-18,371360101.0
2022-09-25,345568313.0
2022-10-02,348675583.0
2022-10-09,348434998.0
2022-10-16,320957406.0
2022-10-23,313538092.0
2022-10-30,309772902.0
2022-11-06,306105982.0
2022-11-13,269610833.0
2022-11-20,279337263.0
2022-11-27,282987902.0
2022-12-04,257304593.0
2022-12-11,285729546.0
2022-12-18,240973937.0
2022-12-25,233808503.0
2023-01-01,237612705.0
2023-01-08,277306740.0
2023-01-15,256351005.0
2023-01-22,343600840.0
2023-01-29,300999313.0
2023-02-05,292797799.0
2023-02-12,291668850.0
2023-02-19,263425498.0
2023-02-26,255156325.0
2023-03-05,304245151.0
2023-03-12,289898292.0
2023-03-19,308916170.0
2023-03-26,351578794.0
2023-04-02,345972766.0
2023-04-09,319443143.0
2023-04-16,273815974.0
2023-04-23,320649383.0
2023-04-30,360810227.0
2023-05-07,328717729.0
2023-05-14,343594555.0
2023-05-21,299479940.0
2023-05-28,326150691.0
2023-06-04,308927524.0
2023-06-11,293434904.0
2023-06-18,280263507.0
2023-06-25,276359384.0
2023-07-02,308682040.0
2023-07-09,296922572.0
2023-07-16,270348271.0
2023-07-23,281749810.0
2023-07-30,258056124.0
2023-08-06,209446194.0
2023-08-13,214165499.0
2023-08-20,234781739.0
2023-08-27,219340387.0
2023-09-03,167358349.0
2023-09-10,189479980.0
2023-09-17,143118010.0
2023-09-24,156798138.0
2023-10-01,188791411.0
2023-10-08,201584054.0
2023-10-15,232295019.0
2023-10-22,639096586.0
2023-10-29,412180592.0
2023-11-05,273038181.0
2023-11-12,241057515.0
2023-11-19,224265984.0
2023-11-26,189137006.0
2023-12-03,190499657.0
2023-12-10,165830925.0
2023-12-17,164186378.0
2023-12-24,179144728.0
2023-12-31,169743191.0
2024-01-07,196708495.0
2024-01-14,182312956.0
2024-01-21,218808024.0
2024-01-28,244857066.0
2024-02-04,228295262.0
2024-02-11,206192941.0
2024-02-18,198499839.0
2024-02-25,239202308.0
2024-03-03,240956346.0
2024-03-10,203223001.0
2024-03-17,192698550.0
2024-03-24,176943988.0
2024-03-31,132054905.0
2024-04-07,115471555.0
2024-04-14,173839621.0
2024-04-21,211653039.0
2024-04-28,217372065.0
2024-05-05,178092568.0
2024-05-12,176692594.0
2024-05-19,162983393.0
2024-05-26,135134372.0
2024-06-02,148079736.0
2024-06-09,165976877.0
2024-06-16,189540716.0
2024-06-23,135098582.0
2024-06-30,137619970.0
2024-07-07,164975891.0
2024-07-14,171469366.0
2024-07-21,196715339.0
2024-07-28,211180966.0
2024-08-04,203327157.0
2024-08-11,185437434.0
2024-08-18,194528662.0
2024-08-25,178791425.0
2024-09-01,167551830.0
2024-09-08,160730758.0
2024-09-15,157297527.0
2024-09-22,165850324.0
2024-09-29,186135549.0
2024-10-06,177626200.0
2024-10-13,177730553.0
2024-10-20,163820762.0
2024-10-27,149423597.0
2024-11-03,133568890.0
2024-11-10,131480893.0
2024-11-17,157344864.0
2024-11-24,110467186.0
2024-12-01,113287863.0
2024-12-08,90790431.0
2024-12-15,120079503.0
2024-12-22,101145764.0
2024-12-29,75611051.0
2025-01-05,150076585.0
2025-01-12,453168795.0
2025-01-19,731450660.0
2025-01-26,640816373.0
2025-02-02,527638223.0
2025-02-09,434554307.0
2025-02-16,375091925.0
2025-02-23,314520022.0
2025-03-02,319908640.0
2025-03-09,294462802.0
2025-03-16,271932720.0
2025-03-23,265661047.0
