date,corridos_total_streams
2023-04-16,8999071.0
2023-04-23,10370643.0
2023-04-30,13365593.0
2023-05-07,13156298.0
2023-05-14,13174179.0
2023-05-21,12417988.0
2023-05-28,12081192.0
2023-06-04,11763750.0
2023-06-11,11621333.0
2023-06-18,9715654.0
2023-06-25,9186756.0
