date,rock_total_streams
2021-02-21,32725116.0
2021-02-28,33258801.0
2021-03-07,33112255.0
2021-03-14,37975319.0
2021-03-21,37721977.0
2021-03-28,37750936.0
2021-04-04,37700886.0
2021-04-11,36925802.0
2021-04-18,43334010.0
2021-04-25,44161530.0
2021-05-02,43982400.0
2021-05-09,44298246.0
2021-05-16,44324704.0
2021-05-23,39311475.0
2021-05-30,45047289.0
2021-06-06,38364582.0
2021-06-13,38127172.0
2021-06-20,37332739.0
2021-06-27,37355203.0
2021-07-04,36589612.0
2021-07-11,36494093.0
2021-07-18,36968232.0
2021-07-25,37178304.0
2021-08-01,37134214.0
2021-08-08,36671950.0
2021-08-15,36906110.0
2021-08-22,36752090.0
2021-08-29,37088885.0
2021-09-05,32511224.0
2021-09-12,31837527.0
2021-09-19,32235555.0
2021-09-26,33155355.0
2021-10-03,34205822.0
2021-10-10,39097909.0
2021-10-17,49903276.0
2021-10-24,132933346.0
2021-10-31,104501099.0
2021-11-07,92455003.0
2021-11-14,82171712.0
2021-11-21,67663271.0
2021-11-28,302156612.0
2021-12-05,179337613.0
2021-12-12,145026163.0
2021-12-19,154026271.0
2021-12-26,159114650.0
2022-01-02,148156285.0
2022-01-09,87610059.0
2022-01-16,78531799.0
2022-01-23,73631589.0
2022-01-30,73056932.0
2022-02-06,91730193.0
2022-02-13,77937810.0
2022-02-20,75936670.0
2022-02-27,71726456.0
2022-03-06,64603907.0
2022-03-13,74216391.0
2022-03-20,85812306.0
2022-03-27,86517468.0
2022-04-03,91862038.0
2022-04-10,89423795.0
2022-04-17,82114133.0
2022-04-24,83676819.0
2022-05-01,84564767.0
2022-05-08,77125617.0
2022-05-15,72399062.0
2022-05-22,62386406.0
2022-05-29,62374267.0
2022-06-05,60500699.0
2022-06-12,61454537.0
2022-06-19,66065224.0
2022-06-26,58618677.0
2022-07-03,68208618.0
2022-07-10,62528135.0
2022-07-17,63828781.0
2022-07-24,63082976.0
2022-07-31,62953278.0
2022-08-07,58353671.0
2022-08-14,59573563.0
2022-08-21,58994289.0
2022-08-28,62655939.0
2022-09-04,64971838.0
2022-09-11,65115052.0
2022-09-18,74860238.0
2022-09-25,76528421.0
2022-10-02,84053422.0
2022-10-09,89671603.0
2022-10-16,93710587.0
2022-10-23,104402771.0
2022-10-30,82358840.0
2022-11-06,67656957.0
2022-11-13,73555259.0
2022-11-20,75217904.0
2022-11-27,83073282.0
2022-12-04,88861091.0
2022-12-11,98297649.0
2022-12-18,110006068.0
2022-12-25,145038563.0
2023-01-01,169435077.0
2023-01-08,64637161.0
2023-01-15,66680123.0
2023-01-22,51938656.0
2023-01-29,67221831.0
2023-02-05,72808487.0
2023-02-12,58926903.0
2023-02-19,56834641.0
2023-02-26,55578283.0
2023-03-05,55402466.0
2023-03-12,47931764.0
2023-03-19,56164402.0
2023-03-26,56373195.0
2023-04-02,55298543.0
2023-04-09,54775369.0
2023-04-16,53040784.0
2023-04-23,62703000.0
