date,rap_hip_hop_total_streams
2021-02-07,446621322.0
2021-02-14,435299903.0
2021-02-21,433584440.0
2021-02-28,415425482.0
2021-03-07,425950482.0
2021-03-14,467760545.0
2021-03-21,415954325.0
2021-03-28,400836909.0
2021-04-04,379403182.0
2021-04-11,341335262.0
2021-04-18,353463578.0
2021-04-25,368332097.0
2021-05-02,372012543.0
2021-05-09,390698430.0
2021-05-16,375870129.0
2021-05-23,540080065.0
2021-05-30,386035063.0
2021-06-06,359947278.0
2021-06-13,340464950.0
2021-06-20,356735694.0
2021-06-27,333058196.0
2021-07-04,373798218.0
2021-07-11,274000344.0
2021-07-18,261313140.0
2021-07-25,316399886.0
2021-08-01,304059782.0
2021-08-08,282573005.0
2021-08-15,281169422.0
2021-08-22,278162244.0
2021-08-29,242320678.0
2021-09-05,498548254.0
2021-09-12,752787299.0
2021-09-19,422487931.0
2021-09-26,332040506.0
2021-10-03,328257081.0
2021-10-10,331298741.0
2021-10-17,334619396.0
2021-10-24,311556499.0
2021-10-31,317654349.0
2021-11-07,269030096.0
2021-11-14,320942704.0
2021-11-21,253343306.0
2021-11-28,262423356.0
2021-12-05,222526997.0
2021-12-12,216308031.0
2021-12-19,276526314.0
2021-12-26,200312061.0
2022-01-02,170855928.0
2022-01-09,256057355.0
2022-01-16,238891008.0
2022-01-23,266748778.0
2022-01-30,276834921.0
2022-02-06,295719457.0
2022-02-13,315772526.0
2022-02-20,347210369.0
2022-02-27,315179376.0
2022-03-06,300035271.0
2022-03-13,314611382.0
2022-03-20,303176297.0
2022-03-27,282081815.0
2022-04-03,246776822.0
2022-04-10,255811772.0
2022-04-17,256780104.0
2022-04-24,232789814.0
2022-05-01,271439293.0
2022-05-08,349265142.0
2022-05-15,269329852.0
2022-05-22,334221969.0
2022-05-29,265334038.0
2022-06-05,267761246.0
2022-06-12,346350493.0
2022-06-19,272661866.0
2022-06-26,271814381.0
2022-07-03,255292145.0
2022-07-10,224398751.0
2022-07-17,246706983.0
2022-07-24,248825621.0
2022-07-31,276646583.0
2022-08-07,260492143.0
2022-08-14,262341521.0
2022-08-21,268086995.0
2022-08-28,274022539.0
2022-09-04,292414494.0
2022-09-11,282525595.0
2022-09-18,267592728.0
