date,electro_total_streams
2021-02-07,36235845.0
2021-02-14,40057590.0
2021-02-21,33878184.0
2021-02-28,34320967.0
2021-03-07,33175623.0
2021-03-14,37188551.0
2021-03-21,37702457.0
2021-03-28,37817558.0
2021-04-04,32906495.0
2021-04-11,30547405.0
2021-04-18,30007243.0
2021-04-25,30520669.0
2021-05-02,29444919.0
2021-05-09,28543533.0
2021-05-16,29050324.0
2021-05-23,33317304.0
2021-05-30,26910473.0
2021-06-06,26949217.0
2021-06-13,26410234.0
2021-06-20,26091343.0
2021-06-27,29983386.0
2021-07-04,30814946.0
2021-07-11,23616046.0
2021-07-18,23470081.0
2021-07-25,23501096.0
2021-08-01,22408344.0
2021-08-08,27020408.0
2021-08-15,32438058.0
2021-08-22,27110228.0
2021-08-29,26969580.0
2021-09-05,26193273.0
2021-09-12,32155834.0
2021-09-19,33623717.0
2021-09-26,35589489.0
2021-10-03,35955308.0
2021-10-10,31005587.0
2021-10-17,31000516.0
2021-10-24,31371191.0
2021-10-31,42577782.0
2021-11-07,40946594.0
2021-11-14,39692973.0
2021-11-21,33160416.0
2021-11-28,33045986.0
2021-12-05,32470548.0
2021-12-12,31556875.0
2021-12-19,32145662.0
2021-12-26,26092983.0
2022-01-02,24562966.0
2022-01-09,37890046.0
2022-01-16,32439975.0
2022-01-23,47249565.0
2022-01-30,47875002.0
2022-02-06,48910096.0
2022-02-13,44625289.0
2022-02-20,44583232.0
2022-02-27,43666687.0
2022-03-06,38011259.0
2022-03-13,37246058.0
2022-03-20,36836757.0
2022-03-27,42335781.0
2022-04-03,42785209.0
2022-04-10,42010935.0
2022-04-17,49415045.0
2022-04-24,49132387.0
2022-05-01,45524351.0
2022-05-08,41169343.0
2022-05-15,38509253.0
2022-05-22,43528105.0
2022-05-29,30968161.0
2022-06-05,30224002.0
2022-06-12,30321655.0
2022-06-19,37803310.0
2022-06-26,50506897.0
2022-07-03,35181138.0
2022-07-10,33437216.0
2022-07-17,35569747.0
2022-07-24,36549416.0
2022-07-31,35409661.0
2022-08-07,34168216.0
2022-08-14,33245610.0
2022-08-21,37902843.0
2022-08-28,37865799.0
2022-09-04,51640275.0
2022-09-11,55461415.0
2022-09-18,60065433.0
2022-09-25,54049348.0
2022-10-02,57148848.0
2022-10-09,55714916.0
2022-10-16,55301088.0
2022-10-23,55122298.0
2022-10-30,47684274.0
2022-11-06,63738355.0
2022-11-13,63093201.0
2022-11-20,59826195.0
2022-11-27,59036627.0
2022-12-04,56462503.0
2022-12-11,42045503.0
2022-12-18,33659095.0
2022-12-25,41363359.0
2023-01-01,40426964.0
2023-01-08,69734895.0
2023-01-15,66495812.0
2023-01-22,67125769.0
2023-01-29,59934084.0
