date,films_games_total_streams
2023-01-22,19166125.0
2023-01-29,19584423.0
2023-02-05,18621189.0
2023-02-12,18489756.0
2023-02-19,18584423.0
2023-02-26,16373032.0
2023-03-05,16470905.0
2023-03-12,16277843.0
2023-03-19,16193684.0
2023-03-26,15779784.0
2023-04-02,15873552.0
2023-04-09,15886659.0
2023-04-16,22293817.0
2023-04-23,27574668.0
2023-04-30,25589787.0
2023-05-07,23480246.0
2023-05-14,15221425.0
2023-05-21,14795654.0
2023-05-28,14770980.0
2023-06-04,24587049.0
2023-06-11,54339032.0
2023-06-18,51904962.0
2023-06-25,47998059.0
2023-07-02,47610752.0
2023-07-09,46898667.0
2023-07-16,39351239.0
2023-07-23,39835593.0
2023-07-30,30577110.0
2023-08-06,31023778.0
2023-08-13,29846656.0
2023-08-20,28808647.0
2023-08-27,28805183.0
2023-09-03,27895903.0
2023-09-10,26948646.0
2023-09-17,26817675.0
2023-09-24,27145202.0
2023-10-01,25374041.0
2023-10-08,24945804.0
2023-10-15,31562766.0
2023-10-22,31239341.0
2023-10-29,32890239.0
2023-11-05,32390373.0
2023-11-12,33632007.0
2023-11-19,44185725.0
2023-11-26,50959158.0
2023-12-03,75010915.0
2023-12-10,118357109.0
2023-12-17,124285319.0
2023-12-24,121909112.0
2023-12-31,158081840.0
2024-01-07,61846532.0
2024-01-14,67496870.0
2024-01-21,83468101.0
2024-01-28,88512448.0
2024-02-04,84755704.0
2024-02-11,90256122.0
2024-02-18,71490272.0
2024-02-25,70207409.0
2024-03-03,71668342.0
2024-03-10,69831106.0
2024-03-17,68609299.0
2024-03-24,66199027.0
2024-03-31,63950415.0
2024-04-07,60917776.0
2024-04-14,59090807.0
2024-04-21,60053966.0
2024-04-28,57398623.0
2024-05-05,49234616.0
2024-05-12,47902211.0
2024-05-19,47446522.0
2024-05-26,56852589.0
2024-06-02,56464113.0
2024-06-09,55112816.0
2024-06-16,53492139.0
2024-06-23,52221248.0
2024-06-30,50910760.0
2024-07-07,51513829.0
2024-07-14,49520999.0
2024-07-21,30386113.0
2024-07-28,28733567.0
2024-08-04,37105078.0
2024-08-11,37049387.0
2024-08-18,37109298.0
2024-08-25,29160703.0
2024-09-01,19231638.0
2024-09-08,29361387.0
2024-09-15,38992081.0
2024-09-22,40064606.0
2024-09-29,30568672.0
2024-10-06,29042511.0
2024-10-13,19682947.0
2024-10-20,19088312.0
2024-10-27,18458971.0
2024-11-03,29607484.0
2024-11-10,25958917.0
2024-11-17,27348286.0
2024-11-24,31970169.0
2024-12-01,106003976.0
2024-12-08,139309872.0
2024-12-15,131707475.0
2024-12-22,114980459.0
2024-12-29,147455140.0
2025-01-05,40634266.0
2025-01-12,34547604.0
2025-01-19,33859719.0
2025-01-26,32230705.0
2025-02-02,30560314.0
2025-02-09,31168567.0
2025-02-16,29757715.0
2025-02-23,27765356.0
2025-03-02,18347304.0
2025-03-09,17299035.0
2025-03-16,45797544.0
2025-03-23,45687985.0
