date,disco_total_streams
2017-02-12,2900036.0
2017-06-18,3416785.0
2017-06-25,3739847.0
2017-07-02,3661787.0
2017-07-09,3672554.0
2017-07-16,3927084.0
2017-07-23,4143042.0
2017-07-30,4264220.0
2017-08-06,4234008.0
2017-08-13,4738672.0
2017-08-20,4899974.0
2017-08-27,4936551.0
2017-09-03,4450067.0
2017-09-10,4112222.0
2017-09-17,3764672.0
2017-09-24,3670718.0
2017-10-01,3464567.0
2024-04-07,8604068.0
2024-04-14,9431924.0
2024-04-21,8913318.0
