date,trance_total_streams
2018-08-26,4076518.0
2018-09-02,4391830.0
2018-09-09,4683510.0
2018-09-16,5679347.0
2018-09-23,10604945.0
2018-09-30,5384202.0
2018-10-07,5107003.0
2018-10-14,4249533.0
2018-10-21,3962195.0
