date,randb_total_streams
2021-02-07,128291342.0
2021-02-14,171101730.0
2021-02-21,145283423.0
2021-02-28,126042070.0
2021-03-07,126031745.0
2021-03-14,114043369.0
2021-03-21,127779973.0
2021-03-28,131567320.0
2021-04-04,116137299.0
2021-04-11,96302407.0
2021-04-18,82753792.0
2021-04-25,80474441.0
2021-05-02,89611376.0
2021-05-09,72491171.0
2021-05-16,69242037.5
2021-05-23,65855905.5
2021-05-30,62985797.0
2021-06-06,65829240.0
2021-06-13,64349245.5
2021-06-20,56597542.5
2021-06-27,60103758.0
2021-07-04,53892574.5
2021-07-11,53291143.5
2021-07-18,40126520.0
2021-07-25,39870436.5
2021-08-01,48824882.5
2021-08-08,37884835.5
2021-08-15,75736438.5
2021-08-22,73887725.5
2021-08-29,67050665.0
2021-09-05,83212986.5
2021-09-12,75224746.0
2021-09-19,76559646.5
2021-09-26,74754563.0
2021-10-03,76788636.5
2021-10-10,73773297.5
2021-10-17,75782184.5
2021-10-24,72977384.5
2021-10-31,82176796.5
2021-11-07,64031874.0
2021-11-14,98163033.5
2021-11-21,73179760.5
2021-11-28,68083260.0
2021-12-05,70720758.0
2021-12-12,69169289.0
2021-12-19,66284917.5
2021-12-26,61224570.0
2022-01-02,59310752.0
2022-01-09,82200729.5
2022-01-16,330880961.5
2022-01-23,175411174.5
2022-01-30,132274046.5
2022-02-06,107546460.0
2022-02-13,105409642.5
2022-02-20,95880668.5
2022-02-27,93899349.0
2022-03-06,84576570.5
2022-03-13,87736511.0
2022-03-20,88065007.5
2022-03-27,91673021.0
2022-04-03,89007113.0
2022-04-10,80899993.0
2022-04-17,88022043.0
2022-04-24,89842532.0
2022-05-01,91730364.0
2022-05-08,85391965.0
2022-05-15,81270658.0
2022-05-22,80011647.0
2022-05-29,79030051.0
2022-06-05,77677032.0
2022-06-12,102286977.0
2022-06-19,109282227.0
2022-06-26,108936594.0
2022-07-03,123188706.0
2022-07-10,121989331.0
2022-07-17,134015124.0
2022-07-24,130511602.0
2022-07-31,128806117.0
2022-08-07,137173216.0
2022-08-14,129923042.0
2022-08-21,129074110.0
2022-08-28,129621006.0
2022-09-04,139801250.0
2022-09-11,128819207.0
2022-09-18,141073498.0
2022-09-25,128351707.0
2022-10-02,137486292.0
2022-10-09,138823660.0
2022-10-16,135890557.0
2022-10-23,142189400.0
2022-10-30,134802351.0
2022-11-06,147071339.0
2022-11-13,141139497.0
2022-11-20,139241343.0
2022-11-27,132842983.0
2022-12-04,137227455.0
2022-12-11,138565210.0
2022-12-18,327316408.0
2022-12-25,173319373.0
2023-01-01,100317788.0
2023-01-08,151857291.0
2023-01-15,162558485.0
2023-01-22,175112825.5
