date,singer_and_songwriter_total_streams
2022-05-01,12055349.0
2022-05-08,12014315.0
2022-05-15,17167113.0
2022-05-22,21036748.0
2022-05-29,28866563.0
2022-06-05,30165008.0
2022-06-12,31474225.0
2022-06-19,31190593.0
2022-06-26,31409370.0
2022-07-03,30771809.0
2022-07-10,30384717.0
2022-07-17,30569635.0
2022-07-24,30547005.0
2022-07-31,30350903.0
2022-08-07,30590575.0
2022-08-14,30626516.0
2022-08-21,29944825.0
2022-08-28,35897229.0
2022-09-04,36895143.0
2022-09-11,39003803.0
2022-09-18,39465962.0
2022-09-25,39468068.0
2022-10-02,39738287.0
2022-10-09,45990665.0
2022-10-16,47972195.0
2022-10-23,51599305.0
2022-10-30,51850456.0
2022-11-06,44988421.0
2022-11-13,45445304.0
2022-11-20,45935434.0
2022-11-27,45866127.0
2022-12-04,42507785.0
2022-12-11,40919632.0
2022-12-18,39427516.0
2022-12-25,38464408.0
2023-01-01,36521630.0
2023-01-08,37359917.0
2023-01-15,38832951.0
2023-01-22,40849875.0
2023-01-29,38680433.0
2023-02-05,36591229.0
2023-02-12,28624383.0
2023-02-19,28751754.0
2023-02-26,27701448.0
2023-03-05,27414384.0
2023-03-12,27457619.0
2023-03-19,27086451.0
2023-03-26,26101993.0
2023-04-02,25059262.0
2023-04-09,25102357.0
2023-04-16,23852401.0
2023-04-23,24036780.0
2023-04-30,23889453.0
2023-05-07,24254811.0
2023-05-14,23477195.0
2023-05-21,23263673.0
2023-05-28,23552687.0
2023-06-04,22728453.0
2023-06-11,22247419.0
2023-06-18,22042700.0
2023-06-25,21458170.0
2023-07-02,21598429.0
2023-07-09,13750810.0
2023-07-16,13325910.0
2023-07-23,12495381.0
2023-07-30,12354685.0
2023-08-06,12492951.0
2023-08-13,12126644.0
2023-08-20,11760514.0
2023-08-27,11937358.0
2023-09-03,12464318.0
2023-09-10,12426678.0
2023-09-17,12493253.0
2023-09-24,13127351.0
2023-10-01,14470584.0
2023-10-08,14376225.0
2023-10-15,14072159.0
2023-10-22,13986849.0
2023-10-29,14113053.0
2023-11-05,13905385.0
2023-11-12,14432784.0
2023-11-19,14191609.0
2023-11-26,14287701.0
2023-12-03,14095540.0
2023-12-10,13868269.0
2023-12-17,13082644.0
2023-12-24,12923442.0
2023-12-31,22170787.0
2024-01-07,12178758.0
2024-01-14,12882699.0
2024-01-21,13313553.0
2024-01-28,13678259.0
2024-02-04,13328125.0
2024-02-11,13026453.0
2024-02-18,12252697.0
2024-02-25,12426658.0
2024-03-03,12276379.0
2024-03-10,12326372.0
2024-03-17,12028494.0
2024-03-24,11913591.0
2024-03-31,12136182.0
2024-04-07,13378257.0
2024-04-14,16975390.0
2024-04-21,14810262.0
2024-04-28,14172787.0
2024-05-05,14217118.0
2024-05-12,13844417.0
2024-05-19,28588071.0
2024-05-26,33344721.0
2024-06-02,37778144.0
2024-06-09,41586178.0
2024-06-16,42189610.0
2024-06-23,38946423.0
2024-06-30,36542388.0
2024-07-07,36367986.0
2024-07-14,36302371.0
2024-07-21,36816611.0
2024-07-28,36568323.0
2024-08-04,35860848.0
2024-08-11,36046046.0
2024-08-18,32938520.0
2024-08-25,31814008.0
2024-09-01,32290551.0
2024-09-08,30944837.0
2024-09-15,30667035.0
2024-09-22,29983107.0
2024-09-29,29281372.0
2024-10-06,28548757.0
2024-10-13,29423197.0
2024-10-20,27539183.0
2024-10-27,27322103.0
2024-11-03,26547208.0
2024-11-10,26236596.0
2024-11-17,26678302.0
2024-11-24,25040332.0
2024-12-01,24121158.0
2024-12-08,22974450.0
2024-12-15,22452843.0
2024-12-22,21244844.0
2024-12-29,21287099.0
2025-01-05,19938415.0
2025-01-12,20732945.0
2025-01-19,20943991.0
2025-01-26,20708159.0
2025-02-02,20047134.0
2025-02-09,19920675.0
2025-02-16,19619909.0
2025-02-23,10666345.0
2025-03-02,10470139.0
2025-03-09,10011191.0
2025-03-16,10078343.0
2025-03-23,10281079.0
